id,final_name,country_code,postal_code,latitude,longitude
2213,Clos de Tart Grand Cru,fr,21220,"47,1956198","4,959588539293363"
2214,Clos Saint-Denis Grand Cru,fr,21220,"47,2001556","4,960928429797206"
2215,Chambolle-Musigny,fr,21220,"47,1864158","4,9533347"
2216,Bonnes-Mares Grand Cru,fr,21220,"47,191928700000005","4,957281488973952"
2217,Musigny Grand Cru,fr,21640,"47,1760791","4,9535106484779385"
2219,Clos Vougeot Grand Cru,fr,21640,"47,1720514","4,958921027826377"
2221,Échezeaux Grand Cru,fr,21640,"47,1709896","4,954011070132744"
2222,Grands-Échezeaux Grand Cru,fr,,nan,nan
2223,Vosne-Romanée,fr,21700,"47,1585795","4,9547623"
2224,La Grande Rue Grand Cru,fr,21700,"47,16055465","4,950698491261123"
2227,Richebourg Grand Cru,fr,21700,"47,1647808","4,947685955930233"
2229,Romanée-Saint-Vivant Grand Cru,fr,21700,"47,162324600000005","4,95287344978855"
2230,Nuits-Saint-Georges,fr,21700,"47,1367598","4,9489061"
2236,Corton-Charlemagne Grand Cru,fr,21550,"47,07909015","4,8726187986944085"
2237,Corton Grand Cru,fr,21420,"47,07784835","4,870743626617295"
2246,Meursault,fr,21190,"46,9783803","4,7694038"
2248,Puligny-Montrachet,fr,21190,"46,9487302","4,7531515"
2300,Savennières-Coulée-de-Serrant,fr,,nan,nan
2410,Côtes du Jura,fr,39600,"46,938951","5,685374"
2471,Trento,it,38122,"46,0664228","11,1257601"
2585,Barbera d'Alba,it,,"44,7662192","8,0382291"
2614,Nebbiolo d'Alba,it,12051,"44,6959642","8,0140628"
2660,Verdicchio dei Castelli di Jesi,it,,nan,nan
2679,Orcia,it,53027,"43,0201424","11,6088904"
2693,Vin Santo di Montepulciano,it,,nan,nan
2734,Montepulciano d'Abruzzo,it,66021,"42,1565463","14,6066804"
2735,Trebbiano d'Abruzzo,it,,nan,nan
2753,Primitivo di Manduria,it,74024,"40,4002788","17,6374622"
2779,Cannonau di Sardegna,it,08022,"40,2568502","9,6218801"
2810,Contessa Entellina,it,90030,"37,7309803","13,1831444"
2818,Marsala,it,91025,"37,7979221","12,4342091"
2869,Venezia Giulia,it,40139,"44,4785765","11,3815621"
2894,Isola dei Nuraghi,it,07051,"40,7092886","9,6990329"
2915,Colli della Toscana Centrale,it,,nan,nan
2916,Maremma Toscana,it,,"42,7027722","11,136743265484084"
2999,Bolgheri Sassicaia,it,,nan,nan
3009,Vin de France,fr,59600,"50,2767373","3,977096"
3015,Vosne-Romanée Premier Cru,fr,,nan,nan
3016,Chambolle-Musigny Premier Cru,fr,,nan,nan
3021,Pommard Premier Cru,fr,21630,"47,0141029","4,796766472116928"
