id,name,is_natural,region_id,winery_id,ratings_average,ratings_count,url,acidity,fizziness,intensity,sweetness,tannin,user_structure_count,Sparkling Sweetness
4236310,Chemin du Bois Champagne,0,409,21926,4.4,184,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/roger-pouillon-fils/11768-roger-pouillon-fils-chemin-du-bois-champagne.html?codice=PLG388,High,Sparkling,High,,,48.0,Extra Brut <1g
4241024,Brunello di Montalcino Riserva,0,1796,1587,4.4,351,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2100725,Medium,Non-Sparkling,Low,Medium,High,28.0,
4242995,Helichrysum Brunello di Montalcino,1,1796,26381,4.4,1370,https://www.colaris.com/catalog/product/view/id/47591,Medium,Non-Sparkling,Low,Low,High,113.0,
4281963,Gran VU Blend,0,713,3754,4.5,2773,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/salentein/15867-salentein-gran-vu.html?codice=WND106-2015,Low,Non-Sparkling,High,Medium,Medium,187.0,
4291453,Cosimo Varvaglione Collezione Privata Primitivo di Manduria,0,2753,12590,4.5,5016,https://theonlinesommelier.nl/product/varvaglione-primitivo-di-manduria-collezione-privata/,Low,Non-Sparkling,High,High,Low,327.0,
4344024,A50 Amarone della Valpolicella,0,1804,6900,4.6,100,https://proef-italie.nl/product/tinazzi-tenuta-valleselle-aurseum-acinum-amarone-della-valpolicella/,Low,Non-Sparkling,High,High,Low,4.0,
4344177,Toscana Bianco,0,673,7941,4.5,833,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2202223,Medium,Non-Sparkling,Low,High,,42.0,
4368455,Bruno Lunelli Riserva,0,2471,5434,4.5,96,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=20FEBL06B,,Non-Sparkling,,,,,
4386193,Croce Del Gal Riserva Amarone della Valpolicella Classico,0,1804,12738,4.6,188,https://www.seulementproduitsitaliens.be/vino/benedetti/22184-benedetti-croce-del-gal-riserva-amarone-della-valpolicella-classico.html?codice=ZPP259,Low,Non-Sparkling,High,High,Low,11.0,
4399908,Altura Máxima Malbec,0,770,3928,4.4,2168,https://vinoscoop.be/products/colome-altura-maxima-malbec?_pos=1&_sid=c28a13d84&_ss=r,Low,Non-Sparkling,High,High,Low,406.0,
4402538,Pessac-Léognan Blanc (Grand Cru Classé de Graves),0,471,13146,4.3,1182,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=60LHBB01B,Low,Non-Sparkling,Medium,High,,29.0,
4426928,Altagracia Cabernet Sauvignon,0,25,1310,4.4,3083,https://hermanwines.com/products/altagracia-cabernet-sauvignon-araujo-2012-r-0-75l,Medium,Non-Sparkling,High,Medium,Medium,113.0,
4434770,Annonciade Champagne,0,409,3641,4.3,137,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/paul-bara/11543-paul-bara-annonciade-champagne.html?codice=per805,High,Sparkling,High,,,32.0,Brut <2g
4437233,Fieramonte Amarone della Valpolicella Riserva,0,1804,1499,4.7,315,https://www.seulementproduitsitaliens.be/vino/allegrini/111-allegrini-amarone-della-valpolicella-classico.html?codice=07117,Low,Non-Sparkling,High,High,Low,17.0,
4444422,Alpine Hillside Pinot Noir,0,86,2400,4.5,46,https://hermanwines.com/products/alpine-vineyard-p-n-santa-cruz-rhys-2019-r-0-75l,Medium,Non-Sparkling,Low,Low,Low,5.0,
4500178,Barolo Riserva,0,504,14505,4.4,265,https://www.grandcruwijnen.nl/2017-paolo-manzone-barolo-riserva,High,Non-Sparkling,High,Low,High,36.0,
4510848,Fino La Barajuela,0,825,30741,4.4,222,https://xpertvinum.be/products/la-barajuela-2013-375-cl-saca-2018?om=7736,,Non-Sparkling,,,,,
4604369,Grand Vin,0,1723,203543,4.4,343,https://www.wijnig.nl/bodega-son-mayol-grand-vin-2018.html,Medium,Non-Sparkling,Medium,Low,Medium,22.0,
4607101,Cosimo Varvaglione Collezione Privata Negroamaro del Salento,0,640,12590,4.3,826,https://www.seulementproduitsitaliens.be/vino/varvaglione/15428-varvaglione-cosimo-varvaglione-negroamaro-del-salento.html?codice=VRV002,Low,Non-Sparkling,High,High,Low,83.0,
4624225,Barolo Riserva Cannubi 1752,0,504,1713,4.5,451,https://www.vino.com/fr/dettaglio/barolo-riserva-docg-1752-cannubi-damilano-2015.html?utm_medium=aggregatore&utm_source=vivino&utm_term=damilanobarolocannubi1752ris2015&utm_country=be&st=be&cr=eur,High,Non-Sparkling,Medium,Low,High,45.0,
4655532,Museum Collection White,0,926,6557,4.4,297,https://proefgriekenland.nl/wijnen/witte-griekse-wijn/gerovassiliou/gerovassiliou-museum-white/,,Non-Sparkling,,,,,
4656452,Colheita Porto,0,718,1652,4.4,741,http://www.wijnhandeljolie.be/catalogus/wijnen/porto/quinta-do-crasto-colheita-porto-2003.html,Low,Non-Sparkling,High,High,,20.0,
4670172,Brunello di Montalcino,0,1796,116221,4.3,2592,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10SEBM09B,Medium,Non-Sparkling,Low,Low,Medium,121.0,
4740498,Puligny-Montrachet Premier Cru ' Clos de la Truffière',0,4054,26840,4.4,475,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=50BECT20B,Medium,Non-Sparkling,Low,Medium,,53.0,
4801666,Lion Tamer Napa Valley Red Blend,0,25,1471,4.3,4981,https://vinoscoop.be/products/copy-of-hess-allomi-vineyard-cabernet-sauvignon?_pos=1&_sid=52a21f330&_ss=r,Medium,Non-Sparkling,High,Medium,Medium,133.0,
4854889,Cannubi Barolo,0,504,1726,4.5,228,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=00ALBAC16B,High,Non-Sparkling,Low,Low,High,19.0,
4878245,Per Sempre Syrah Toscana,0,394,11007,4.5,711,https://www.colaris.com/catalog/product/view/id/48675,Low,Non-Sparkling,Low,Medium,Low,101.0,
4904378,Belles Soeurs Cuvée Pinot Noir,0,55,1431,4.4,229,https://www.grandcruwijnen.nl/2019-beaux-freres-belles-soeurs-cuvee-pinot-noir,High,Non-Sparkling,Low,Low,Low,22.0,
4926126,Les Ouvrées Rodin Chambertin-Clos de Bèze Grand Cru,0,2202,9294,4.5,33,https://www.wijnig.nl/faiveley-chambertin-clos-de-beze-ouvrees-rodin-201.html,High,Non-Sparkling,Low,Medium,Low,6.0,
5007190,Adrianna Vineyard Fortuna Terrae Malbec,0,454,1437,4.5,2589,https://www.grandcruwijnen.nl/2019-bodegas-catena-zapata-adrianna-fortuna-terrae,Low,Non-Sparkling,Medium,High,Low,404.0,
5107190,Adrianna Vineyard Mundus Bacillus Terrae Malbec,0,1610,1437,4.6,1358,https://www.grandcruwijnen.nl/2016-bodegas-catena-zapata-adrianna-mundus-bacillus-terrae-1,Low,Non-Sparkling,Medium,High,Low,222.0,
5144661,Barbaresco Asili,0,722,1806,4.4,710,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2202670,High,Non-Sparkling,Low,Low,High,37.0,
5292791,Grands-Echezeaux Grand Cru,0,2222,9294,4.4,432,https://www.wijnig.nl/domaine-faiveley-grands-echezeaux-grand-cru-2018.html,High,Non-Sparkling,Low,Low,Low,25.0,
5294192,Trebbiano d'Abruzzo,0,2735,221277,4.4,140,https://www.vinio.nl/products/nic-tartaglia-trebbiano-d-abruzzo-doc-2022,High,Non-Sparkling,Low,High,,11.0,
5296435,The Journeyman,0,534,1962,4.6,231,https://www.grandcruwijnen.nl/2020-boekenhoutskloof-the-journeyman,Medium,Non-Sparkling,Medium,High,Medium,21.0,
5313010,Le Petit Cheval Bordeaux Blanc,0,383,9754,4.4,782,https://www.topwijnen.be/nl/product/wijnen/frankrijk/bordeaux/bordeaux/wn1090603/wn1090603,Low,Non-Sparkling,Low,High,,27.0,
5333076,Bassolino di Sopra Brunello di Montalcino,1,1796,5567,4.6,174,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10PDOBBS07M,Medium,Non-Sparkling,Low,Low,High,18.0,
5337118,Regina del Bosco R.Quarantottomesi,0,808,61320,4.5,109,https://www.seulementproduitsitaliens.be/vino/dezi/27488-dezi-regina-del-bosco-rquarantottomesi.html?codice=PER0-9,Low,Non-Sparkling,Medium,Low,Medium,3.0,
5362570,40 Years Old Port,0,718,29919,4.5,37,https://www.colaris.com/40-years-old-red-port-butler-nephew-co,Low,Non-Sparkling,High,High,,2.0,
5364329,Cinque Autoctoni Collection Limited Release,0,619,7892,4.4,4281,https://www.colaris.com/farnese-cinque-autoctoni-collection-limited-release-2020,Low,Non-Sparkling,Low,High,Low,140.0,
5371047,Valmezzane Amarone della Valpolicella,1,1804,5040,4.4,799,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2202912,Low,Non-Sparkling,High,High,Low,37.0,
5378501,Quarto Vecchio Amarone della Valpolicella Classico Riserva,0,3237,85065,4.5,292,https://www.seulementproduitsitaliens.be/vino/il-canovino/7396-il-canovino-quarto-vecchio-amarone-della-valpolicella-classico-riserva-.html?codice=TIC001-2016,Low,Non-Sparkling,High,High,Low,9.0,
5402773,Pym-Rae Red Blend,0,25,278457,4.5,273,https://www.grandcruwijnen.nl/2018-tesseron-estate-pym-rae,High,Non-Sparkling,High,Low,High,23.0,
5418443,Amarone della Valpolicella,0,1804,226947,4.5,749,https://www.seulementproduitsitaliens.be/vino/costa-arente/21392-costa-arente-amarone-della-valpolicella.html?codice=LAT010-2018,Low,Non-Sparkling,High,High,Low,42.0,
5459345,Zeltinger Sonnenuhr Beerenauselese Riesling,0,545,2338,4.5,49,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=80MOZBA15H,High,Non-Sparkling,Low,High,,10.0,
5474643,Bure Alto Amarone  della Valpolicella Classico Riserva,0,1804,14619,4.6,132,https://www.colaris.com/catalog/product/view/id/56019,Low,Non-Sparkling,High,High,Low,6.0,
5483693,Clos Saint-Denis Grand Cru,0,2214,9294,4.6,40,https://www.wijnig.nl/faiveley-clos-saint-denis-grand-cru-2014.html,High,Non-Sparkling,Low,Low,Low,0.0,
5509286,Il Bacca Old Vine Primitivo di Manduria,0,2753,223950,4.4,2933,https://www.vanoudsdezwaan.nl/luccarelli-il-bacca-old-vines.html,Low,Non-Sparkling,High,High,Low,116.0,
5532640,Kalós Cru Gran Reserva Malbec,0,454,197168,4.5,3351,https://artevino.be/product/kalos-cru-malbec-gran-reserva-2013/,Low,Non-Sparkling,Medium,High,Medium,846.0,
5571323,La Piu Belle,0,411,36981,4.6,13420,https://www.grandcruwijnen.nl/2020-vina-vik-winery-la-piu-belle,,Non-Sparkling,,,,,
5585033,Charmes-Chambertin Grand Cru,0,2204,218744,4.5,33,https://www.vanoudsdezwaan.nl/labruyere-prieur-selection-charmes-chamb-114380828.html,High,Non-Sparkling,Low,Low,Low,1.0,
5599210,Quiñon de Valmira,0,492,3143,4.6,377,https://www.grandcruwijnen.nl/2018-alvaro-palacios-remondo-qui-on-de-valmira,Medium,Non-Sparkling,Low,Low,High,70.0,
5670052,Chambertin Grand Cru,0,2201,3272,4.5,188,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=50DHRC18B,High,Non-Sparkling,Low,Low,Low,27.0,
5722011,Marmar,0,649,27282,4.5,514,https://www.wijnig.nl/von-winning-riesling-trocken-qba-marmar-2018.html,High,Non-Sparkling,Low,High,,118.0,
5725324,TD9,0,25,1320,4.3,6056,https://www.grandcruwijnen.nl/2018-shafer-vineyards-napa-valley-td-10,Medium,Non-Sparkling,High,Low,Medium,236.0,
5778823,Mironia Black Edition Tempranillo,0,405,17977,4.5,187,https://santewines.be/products/penafiel-mironia-black-edition-2017?variant=38932952645783,Medium,Non-Sparkling,High,Medium,High,33.0,
5790892,40 Years Old Tawny Port,0,718,10982,4.4,357,https://www.douchywebshop.com/diversen/porto/kopke-40-jaar-oud-20-75cl--kistje,Low,Non-Sparkling,High,High,,13.0,
5805371,Rioja Reserva 10 Años Después Edición Limitada,0,492,5415,4.4,1093,https://www.grandcruwijnen.nl/2012-compania-bodega-de-valenciso-reserva-10-anos-despues,Medium,Non-Sparkling,Medium,Low,High,191.0,
5806244,Mágico,0,492,156664,4.8,146,https://www.grandcruwijnen.nl/2019-sierra-cantabria-rioja-magico,Medium,Non-Sparkling,Low,High,High,42.0,
5853350,Peña Lobera,0,405,40544,4.4,234,https://www.labuenavida.be/spaanse-wijn/hacienda-solano/pena-lobera/4530,Medium,Non-Sparkling,Medium,Low,High,37.0,
5859611,Reserve Chardonnay,0,4363,64829,4.5,396,https://www.wijnkooperijdelange.nl/Lismore-Estate-Reserve-Chardonnay/9705001,Medium,Non-Sparkling,High,High,,29.0,
5895151,Carmin,0,3336,31068,4.4,931,https://theonlinesommelier.nl/product/chateau-belles-eaux-carmin/,Medium,Non-Sparkling,High,Medium,High,63.0,
5895915,Colheita Porto Branco,0,718,36852,4.6,65,https://www.douchywebshop.com/diversen/porto/quinta-da-devesa-porto-1970-white-colheita-21-50cl--etui,Medium,Non-Sparkling,High,High,,5.0,
5905644,Falletto Barbaresco Rabaja,0,722,1347,4.4,448,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2202665,High,Non-Sparkling,Medium,Low,High,29.0,
5907829,Arché,0,1395,32935,4.4,429,https://www.grandcruwijnen.nl/2019-herdade-do-sobroso-arche,Low,Non-Sparkling,Medium,High,Medium,84.0,
5937785,Touran,0,478,230207,4.6,274,https://www.grandcruwijnen.nl/2020-gil-family-estates-morca-touran,Low,Non-Sparkling,High,High,Medium,18.0,
5938545,Collection Vintage 2000 Brut,0,409,45756,4.6,58,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEW=40LLMI00B,High,Sparkling,High,,,14.0,Dry <5.3g
5986090,Secentenario,0,394,1252,4.6,96,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10ANSE85M,Low,Non-Sparkling,Low,Low,Low,9.0,
5994988,Puligny-Montrachet 1er Cru 'Les Champs Gains',0,4048,3106,4.4,429,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/domaine-roger-belland/14820-domaine-roger-belland-puligny-montrachet-1er-cru-les-champs-gains.html?codice=BLS233-2019,Medium,Non-Sparkling,Medium,Low,,19.0,
6023708,Dona Ermelinda Grande Reserva,0,798,15240,4.4,933,https://www.colaris.com/casa-ermelinda-freitas-dona-ermelinda-grande-reserva-2017,Low,Non-Sparkling,High,High,Medium,146.0,
6033125,Cuvée des Hussards Vieilles Vignes Brut Champagne Premier Cru,0,4639,184911,4.5,47,https://www.grandcruwijnen.nl/2012-champagne-frerejean-fre-res-cuvee-des-hussards-vieilles-vignes-premier-cru,High,Sparkling,High,,,10.0,Dry <5.3g
6044826,Eight Years In The Desert,0,24,1204,4.4,27195,https://hermanwines.com/products/8-years-in-the-dessert-orin-swift-2019-r-0-75l,Low,Non-Sparkling,High,High,Low,1250.0,
6053083,Librante Primitivo di Manduria,0,2753,232772,4.4,491,https://proef-italie.nl/product/attanasio-luca-librante-primitivo-di-manduria-dop/,Low,Non-Sparkling,High,High,Low,40.0,
6096906,Winemaker's Selection,0,1575,31669,4.3,292,https://santewines.be/products/korta-katarina-winemakers-selection-2011?variant=46512673030467,High,Non-Sparkling,High,High,High,1.0,
6108201,LR,0,661,4626,4.5,503,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=20COSC15B,Low,Non-Sparkling,Medium,High,,97.0,
6125402,Zeltinger Sonnenuhr Beerenauslese,0,545,2338,4.7,44,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=80MOZBA17H,High,Non-Sparkling,Medium,High,,7.0,
6139455,Limited Edition 10 Vendemmie,0,2734,17793,4.5,9453,http://www.wijnhandeljolie.be/catalogus/wijnen/rode-wijn/10-vendemmie-limited-edition-abruzzo-tenuta-ulisse.html,Medium,Non-Sparkling,Low,High,Low,399.0,
6173783,Champ Cain Extra Brut Champagne Grand Cru 'Avize',0,4625,2030,4.4,234,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/jacquesson/19760-jacquesson-champagne-extra-brut-avize-grand-cru-champ-cain.html?codice=PLG377-2013,High,Sparkling,Medium,,,72.0,Brut Nature <0.5g
6206170,Charlemagne Grand Cru,0,4311,11168,4.5,201,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=50DVCH20B,Medium,Non-Sparkling,Low,Low,,35.0,
6226139,Graacher Himmelreich Riesling Auslese 'Goldkapsel',0,3154,10514,4.6,119,https://hermanwines.com/products/graach-himmelr-ausl-gk-auct-jj-prum-2012-w-0-375l,High,Non-Sparkling,Low,High,,30.0,
6251697,Les Ruchons Sancerre Blanc,0,635,2752,4.4,269,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/henri-bourgeois/22499-henri-bourgeois-les-ruchons-sancerre-blanc.html?codice=PLG438,High,Non-Sparkling,Low,Low,,15.0,
6255066,VV 26 Blanc de Blancs Vieilles Vignes Grand Cru Brut,0,409,184911,4.5,314,https://www.grandcruwijnen.nl/champagne-frerejean-fre-res-vv-26-blanc-de-blancs-vieilles-vignes-grand-cru-brut,High,Sparkling,High,,,72.0,Brut Nature <0.5g
6262044,El Escolladero,0,492,17401,4.4,161,https://www.labuenavida.be/spaanse-wijn/artuke/el-escolladero/4595,Medium,Non-Sparkling,Low,Low,Medium,31.0,
6274335,110 e Lode Merlot,0,460,34760,4.4,174,https://www.seulementproduitsitaliens.be/vino/pilandro/23918-pilandro-110-e-lode-merlot.html?codice=PLD005,Low,Non-Sparkling,High,High,Medium,19.0,
6331780,Guerriero della Terra,0,712,40453,4.4,10185,http://www.vivino.com/wines/165224957,Low,Non-Sparkling,Medium,High,Low,588.0,
